tokenid,collection_mint_number,asset_token_id,asset_index,token_index
o4sku-hykor-uwiaa-aaaaa-cuarg-yaqca-acybf-q,173,46fzn-eakor-uwiaa-aaaaa-c4chg-yaqca-aaacw-q,173,180299
o4r4p-wykor-uwiaa-aaaaa-cuarg-yaqca-acyrj-a,1204,46gpw-vakor-uwiaa-aaaaa-c4chg-yaqca-aaas2-a,1204,181330
nerdl-mykor-uwiaa-aaaaa-cuarg-yaqca-acyta-a,1314,4757y-zakor-uwiaa-aaaaa-c4chg-yaqca-aaaur-a,1314,181440
nesvq-5ykor-uwiaa-aaaaa-cuarg-yaqca-acydm-q,315,476jd-iakor-uwiaa-aaaaa-c4chg-yaqca-aaae5-q,315,180441
az5sd-5ykor-uwiaa-aaaaa-cuarg-yaqca-acyir-q,645,4aefz-2akor-uwiaa-aaaaa-c4chg-yaqca-aaakc-q,645,180771
az6ey-mykor-uwiaa-aaaaa-cuarg-yaqca-acyy5-a,1692,4ahtc-lakor-uwiaa-aaaaa-c4chg-yaqca-aaa2o-a,1692,181818
db5nh-hykor-uwiaa-aaaaa-cuarg-yaqca-acyky-q,787,4b7vx-wakor-uwiaa-aaaaa-c4chg-yaqca-aaamj-q,787,180913
nzejy-3qkor-uwiaa-aaaaa-cuarg-yaqca-acydo-q,319,4civl-oikor-uwiaa-aaaaa-c4chg-yaqca-aaae7-q,319,180445
nzh7d-kqkor-uwiaa-aaaaa-cuarg-yaqca-acytc-a,1318,4cldq-7ikor-uwiaa-aaaaa-c4chg-yaqca-aaaut-a,1318,181444
mmrjx-fakor-uwiaa-aaaaa-cuarg-yaqca-acyrh-a,1200,4dqt6-tikor-uwiaa-aaaaa-c4chg-yaqca-aaasy-a,1200,181326
p2jom-nakor-uwiaa-aaaaa-cuarg-yaqca-acybd-q,169,4dtff-cikor-uwiaa-aaaaa-c4chg-yaqca-aaacu-q,169,180295
r5awt-mqkor-uwiaa-aaaaa-cuarg-yaqca-acysh-q,1265,4e5e4-sykor-uwiaa-aaaaa-c4chg-yaqca-aaaty-q,1265,181391
slyri-eqkor-uwiaa-aaaaa-cuarg-yaqca-acycd-a,232,4e6sh-dykor-uwiaa-aaaaa-c4chg-yaqca-aaadu-a,232,180358
tmyf6-cikor-uwiaa-aaaaa-cuarg-yaqca-acyeo-a,382,4ffcj-pykor-uwiaa-aaaaa-c4chg-yaqca-aaaf7-a,382,180508
tm3tf-tikor-uwiaa-aaaaa-cuarg-yaqca-acyuc-q,1383,4fgus-6ykor-uwiaa-aaaaa-c4chg-yaqca-aaavt-q,1383,181509
dgq2f-gikor-uwiaa-aaaaa-cuarg-yaqca-acyly-a,850,4gscv-xqkor-uwiaa-aaaaa-c4chg-yaqca-aaanj-a,850,180976
a6qfb-4ikor-uwiaa-aaaaa-cuarg-yaqca-acyjr-a,708,4hjs3-3qkor-uwiaa-aaaaa-c4chg-yaqca-aaalc-a,708,180834
c4gs3-gykor-uwiaa-aaaaa-cuarg-yaqca-acynx-a,976,4ijmr-uqkor-uwiaa-aaaaa-c4chg-yaqca-aaapi-a,976,181102
fbiur-yykor-uwiaa-aaaaa-cuarg-yaqca-acyx6-q,1631,4jrke-jqkor-uwiaa-aaaaa-c4chg-yaqca-aaazp-q,1631,181757
